Name,Bouboule,Coin bouboule,Coin pas ouvert,Coin ouvert mais DL aux jonctions,Coin ouvert
CHEBI:18153,,0,0,0,0,0
CHEBI:15807,,0,0,0,0,0
CHEBI:16549,,0,0,0,0,0
CHEBI:27462,,0,0,0,0,0
CHEBI:5721,,0,0,0,0,0
CHEBI:17769,,0,0,0,0,0
CHEBI:3523,,0,0,0,0,0
CHEBI:18288,,0,0,0,0,0
CHEBI:16770,,0,0,0,0,0
CHEBI:16237,,0,0,0,0,0
CHEBI:3996,,0,0,0,0,0
CHEBI:17130,,0,0,0,0,0
CHEBI:16639,,0,0,0,0,0
CHEBI:27389,,0,0,0,0,0
CHEBI:16496,,0,0,0,0,0
CHEBI:16926,,0,0,0,0,0
CHEBI:16569,,0,0,0,0,0
CHEBI:17078,,0,0,0,0,0
CHEBI:16053,,0,0,0,0,0
CHEBI:17019,,0,0,0,0,0
CHEBI:16895,,0,0,0,0,0
CHEBI:17854,,0,0,0,0,0
CHEBI:15677,,0,0,0,0,0
CHEBI:4562,4 ,0,0,0,1,0
CHEBI:16718,,0,0,0,0,0
CHEBI:15769,,0,0,0,0,0
CHEBI:17000,,0,0,0,0,0
CHEBI:17199,,0,0,0,0,0
CHEBI:16040,,0,0,0,0,0
CHEBI:16593,,0,0,0,0,0
CHEBI:27448,,0,0,0,0,0
CHEBI:15854,0 ,1,0,0,0,0
CHEBI:15798,,0,0,0,0,0
CHEBI:16113,,0,0,0,0,0
CHEBI:10447,,0,0,0,0,0
CHEBI:3387,,0,0,0,0,0
CHEBI:15492,,0,0,0,0,0
CHEBI:16358,,0,0,0,0,0
CHEBI:17195,,0,0,0,0,0
CHEBI:3485,,0,0,0,0,0
CHEBI:16036,,0,0,0,0,0
CHEBI:15692,4 ,0,0,0,2,0
CHEBI:16699,,0,0,0,0,0
CHEBI:15917,,0,0,0,0,0
CHEBI:16566,,0,0,0,0,0
CHEBI:7789,,0,0,0,0,0
CHEBI:16831,,0,0,0,0,0
CHEBI:18394,,0,0,0,0,0
CHEBI:16128,,0,0,0,0,0
CHEBI:11449,,0,0,0,0,0
CHEBI:9362,,0,0,0,0,0
CHEBI:16168,,0,0,0,0,0
CHEBI:16314,,0,0,0,0,0
CHEBI:15742,,0,0,0,0,0
CHEBI:3537,,0,0,0,0,0
CHEBI:16345,,0,0,0,0,0
CHEBI:16141,,0,0,0,0,0
CHEBI:15602,,0,0,0,0,0
CHEBI:17279,,0,0,0,0,0
CHEBI:18027,,0,0,0,0,0
CHEBI:6897,,0,0,0,0,0
CHEBI:17162,,0,0,0,0,0
CHEBI:17441,,0,0,0,0,0
CHEBI:15770,,0,0,0,0,0
CHEBI:15425,,0,0,0,0,0
CHEBI:16548,3 ,0,0,0,0,8
CHEBI:17665,,0,0,0,0,0
CHEBI:17394,,0,0,0,0,0
CHEBI:16780,,0,0,0,0,0
CHEBI:16830,,0,0,0,0,0
CHEBI:16889,,0,0,0,0,0
CHEBI:15659,,0,0,0,0,0
CHEBI:16976,,0,0,0,0,0
CHEBI:15664,,0,0,0,0,0
CHEBI:15472,,0,0,0,0,0
CHEBI:15403,,0,0,0,0,0
CHEBI:21412,,0,0,0,0,0
CHEBI:17778,,0,0,0,0,0
CHEBI:16622,,0,0,0,0,0
CHEBI:17646,,0,0,0,0,0
CHEBI:16011,,0,0,0,0,0
CHEBI:17467,,0,0,0,0,0
CHEBI:16998,,0,0,0,0,0
