nom_molecule,classement_1,classement_2,diff_classement
CHEBI_16548.csv,102,98,-4
CHEBI_180459.csv,59,55,-4
CHEBI_132670.csv,141,136,-5
CHEBI_36337.csv,129,124,-5
CHEBI_2430.csv,444,439,-5
CHEBI_68360.csv,443,438,-5
CHEBI_141371.csv,660,655,-5
CHEBI_132705.csv,130,125,-5
CHEBI_132668.csv,145,140,-5
CHEBI_77327.csv,31,26,-5
CHEBI_132702.csv,143,138,-5
CHEBI_30621.csv,55,50,-5
CHEBI_36081.csv,146,141,-5
CHEBI_73095.csv,301,296,-5
CHEBI_132640.csv,454,448,-6
CHEBI_51170.csv,39,33,-6
CHEBI_178082.csv,81,75,-6
CHEBI_132790.csv,22,16,-6
CHEBI_2481.csv,593,586,-7
CHEBI_60052.csv,269,262,-7
CHEBI_68261.csv,98,91,-7
CHEBI_28115.csv,206,199,-7
CHEBI_8925.csv,79,72,-7
CHEBI_137699.csv,654,647,-7
CHEBI_71272.csv,75,68,-7
CHEBI_90700.csv,135,128,-7
CHEBI_69350.csv,238,230,-8
CHEBI_33724.csv,117,109,-8
CHEBI_68245.csv,88,80,-8
CHEBI_64325.csv,50,42,-8
CHEBI_28973.csv,138,130,-8
CHEBI_132666.csv,136,127,-9
CHEBI_18408.csv,203,194,-9
CHEBI_68243.csv,94,85,-9
CHEBI_132669.csv,144,135,-9
CHEBI_137696.csv,285,276,-9
CHEBI_51220.csv,286,277,-9
CHEBI_68259.csv,82,73,-9
CHEBI_60488.csv,212,203,-9
CHEBI_142542.csv,234,225,-9
CHEBI_68295.csv,655,646,-9
CHEBI_51229.csv,287,278,-9
CHEBI_132661.csv,202,192,-10
CHEBI_65527.csv,594,584,-10
CHEBI_131784.csv,186,175,-11
CHEBI_68246.csv,92,81,-11
CHEBI_38202.csv,180,169,-11
CHEBI_39002.csv,62,51,-11
CHEBI_57965.csv,656,645,-11
CHEBI_68240.csv,91,79,-12
CHEBI_139555.csv,397,385,-12
CHEBI_67293.csv,595,583,-12
CHEBI_48396.csv,185,173,-12
CHEBI_59607.csv,73,61,-12
CHEBI_132697.csv,139,126,-13
CHEBI_60494.csv,213,200,-13
CHEBI_68247.csv,95,82,-13
CHEBI_132659.csv,215,202,-13
CHEBI_7459.csv,657,644,-13
CHEBI_145526.csv,53,40,-13
CHEBI_69019.csv,183,170,-13
CHEBI_51218.csv,380,366,-14
CHEBI_15852.csv,207,193,-14
CHEBI_136454.csv,709,695,-14
CHEBI_79401.csv,706,691,-15
CHEBI_35835.csv,163,148,-15
CHEBI_67301.csv,596,581,-15
CHEBI_60491.csv,383,367,-16
CHEBI_27786.csv,214,197,-17
CHEBI_68258.csv,93,76,-17
CHEBI_16315.csv,658,641,-17
CHEBI_145880.csv,205,187,-18
CHEBI_35898.csv,165,146,-19
CHEBI_68244.csv,97,78,-19
CHEBI_36549.csv,164,145,-19
CHEBI_66120.csv,659,640,-19
CHEBI_36551.csv,168,149,-19
CHEBI_49100.csv,209,188,-21
CHEBI_48568.csv,216,195,-21
CHEBI_48456.csv,64,43,-21
CHEBI_2618.csv,68,46,-22
CHEBI_48583.csv,57,35,-22
CHEBI_68239.csv,99,77,-22
CHEBI_68238.csv,96,74,-22
CHEBI_16957.csv,661,639,-22
CHEBI_35834.csv,169,147,-22
CHEBI_144375.csv,541,518,-23
CHEBI_33633.csv,166,143,-23
CHEBI_35895.csv,167,144,-23
CHEBI_37372.csv,71,47,-24
CHEBI_58502.csv,542,516,-26
CHEBI_144372.csv,700,674,-26
CHEBI_48320.csv,65,39,-26
CHEBI_65900.csv,618,591,-27
CHEBI_7003.csv,388,361,-27
CHEBI_64323.csv,61,34,-27
CHEBI_16900.csv,334,306,-28
CHEBI_141964.csv,616,587,-29
CHEBI_68932.csv,617,588,-29
CHEBI_65529.csv,695,666,-29
CHEBI_18362.csv,543,514,-29
CHEBI_6078.csv,742,713,-29
CHEBI_88334.csv,63,32,-31
CHEBI_136464.csv,544,513,-31
CHEBI_155927.csv,67,36,-31
CHEBI_39004.csv,69,37,-32
CHEBI_18430.csv,722,690,-32
CHEBI_136457.csv,545,512,-33
CHEBI_65989.csv,546,511,-35
CHEBI_83349.csv,393,358,-35
